ID,Main,Location,Corporation,Salary,Href,Date
349,IT Teamleader/Docker Specialista,"možnosť HO, Bratislava",Lugera & Maklér spol.s r.o.,3 000 EUR/mesiac,/praca/lugera-makler/O4518561,2023-02-21
350,PHP Web Developer (TYPO3 a Shopware),"Miletičova, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",DEVSK s. r. o.,2 500 EUR/mesiac,/praca/devsk/O4518540,2023-02-21
351,Java Developer,Bratislava,IBM,1 400 EUR/mesiac,/praca/ibm/O4469866,2023-02-21
352,C/C++ Developer ,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,2 300 - 3 500 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4452733,2023-02-21
353,Embedded Systems Developer for Healthcare Projects,"Košice Region, Slovakia, Košice region (Job with occasional home office)",Siemens Slovensko,2 600 EUR/mesiac,/praca/siemens-slovensko/O4432355,2023-02-21
354,Junior Oracle Database Administrator/Optimalization Specialist,"Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,2 700 EUR/mesiac,/praca/siemens-slovensko/O4302933,2023-02-21
355,Oracle Database Administrator/Optimalization Specialist,Bratislava,Siemens Slovensko,1 500 EUR/mesiac,/praca/siemens-slovensko/O4302931,2023-02-21
356,Software Architect for Point of Care Diagnostics,"Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,1 900 EUR/mesiac,/praca/siemens-slovensko/O4259861,2023-02-21
357,Software Application Tester,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Siemens Slovensko,3 200 EUR/mesiac,/praca/siemens-slovensko/O4155610,2023-02-21
358,Dátový Analytik ,Žilina,Siemens Slovensko,1 600 EUR/mesiac,/praca/siemens-slovensko/O4223573,2023-02-21
359,Experienced Azure Data Engineer Kosice (Permanent home office possible),"Košice, Slovakia (Job with occasional home office)","Accenture, s.r.o.",1 500 EUR/mesiac,/praca/accenture/O4053704,2023-02-21
