ID,Main,Location,Corporation,Salary,Href,Date
480,Python developer - Data Engineer (Medior),"Košice, Slovensko (Pozícia umožňuje občasnú prácu z domu)",localhost s.r.o.,3 500 EUR/mesiac,/praca/localhost/O4524467,2023-04-07
481,CAD Systems Administrator,Práca z domu,Scheidt & Bachmann Slovensko s.r.o.,2 300 - 3 700 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4543580,2023-04-07
482,Junior Database Administrator with German language,Remote work,"Unique People, s.r.o.",1 500 EUR/mesiac,/praca/unique-people/O4333596,2023-04-07
483,Experienced Frontend Engineer - Angular,"Bratislava, Slovakia (Job with occasional home office)",SuperScale s. r. o.,1 500 EUR/mesiac,/praca/superscale/O4464412,2023-04-07
484,Full Stack Developer ČSOB,"Bratislava, Slovak Republic (Job with occasional home office)",ČSOB Finančná skupina,3 000 EUR/mesiac,/praca/csob-financna-skupina/O4543563,2023-04-07
485,PEGA Architect- Business Analyst,Remote work,Deutsche Telekom Services Europe Slovakia s.r.o.,2 500 EUR/mesiac,/praca/deutsche-telekom-services-europe-slovakia/O4436236,2023-04-07
486,Junior Embedded C/C++ Engineer (Linux/Networking),Remote work,GlobalLogic Slovakia s.r.o.,2 300 EUR/mesiac,/praca/globallogic-slovakia/O4543497,2023-04-07
487,Java Backend Developer with Angular.js Frontend Expertise,Remote work,Arcondis Solutions s.r.o.,1 800 EUR/mesiac,/praca/arcondis-solutions/O4543487,2023-04-07
488,Senior Android/Kotlin Developer,Remote work,Pro HR,2 000 - 3 000 EUR/mesiac,/praca/pro-hr/O3550831,2023-04-07
489,Senior or Lead  C#.NET Developer ,Remote work,GlobalLogic Slovakia s.r.o.,3 000 EUR/mesiac,/praca/globallogic-slovakia/O4028836,2023-04-07
490,DevOps Engineer (Azure),"Bratislava, Slovakia (Job with occasional home office)",Pro HR,2 800 EUR/mesiac,/praca/pro-hr/O4524429,2023-04-07
491,TechLead zameraný na Frontend,"Aston ITM, spol. s r.o., Račianska, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Aston ITM, s.r.o.",3 500 EUR/mesiac,/praca/aston-itm/O4434502,2023-04-07
492,IT Shopfloor Specialist,Záborské,HEADSCOUT s.r.o.,3 000 EUR/mesiac,/praca/headscout/O4524825,2023-04-07
493,CX developer - Dôvera dizajn systém (KE),"Košice, Slovensko (Pozícia umožňuje občasnú prácu z domu)","DÔVERA zdravotná poisťovňa, a. s.",1 400 EUR/mesiac,/praca/dovera-zdravotna-poistovna/O4489748,2023-04-07
494,CX developer - Dôvera dizajn systém (BA),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","DÔVERA zdravotná poisťovňa, a. s.",2 000 EUR/mesiac,/praca/dovera-zdravotna-poistovna/O4489750,2023-04-07
