Corporation,Main,Labels
IMPC Personnel Hungária Kft. ,PROJECT MANAGER (System Validation),"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Software Engineer,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,SAP BW/4HANA supporter,"
      Rendszerüzemeltető    "
Mind-Diák Szövetkezet ,Portfolio Risk Modelling Intern,"
      Rendszerüzemeltető    "
Mind-Diák Szövetkezet ,Portfolio Analytics Solutions Intern,"
      Rendszerüzemeltető    "
Mind-Diák Szövetkezet ,Data Analyst Intern,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,SENIOR DEVOPS ENGINEER,"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Szoftver tesztautomatizáló mérnök (Veszprém),"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Pályakezdő fejlesztőmérnök (Veszprém),"
      Rendszerüzemeltető    "
thyssenkrupp Components Technology Hungary Kft. ,Fullstack developer (Jira),"
      Rendszerüzemeltető    "
Hire-One Kft. ,IT junior mérnök,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Lead Software Engineer (Java),"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Junior Golang Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Vulnerability Reporting Analyst,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,JAVA FEJLESZTŐ,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,IT Production Launch Manager,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Java Developer,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Senior Java Developer,"
      Rendszerüzemeltető    "
Trenkwalder Kft ,Fejlesztési csapatvezető,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Szerver és hálózat rendszeradminisztrátor - Server and Network administrator,"
      Rendszerüzemeltető    "
Vision Recruitment Kft. ,Spanish speaking Service Desk Agent,"
      Rendszerüzemeltető    "
Vision Recruitment Kft. ,Dutch speaking Customer Service Specialist,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP Master Data Application Consultant,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP EWM Application Consultant,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP Ariba Expert,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Python Developer for Engineering Expert,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,".NET FEJLESZTŐ, SZAKMAI VEZETŐ","
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP Test Automation Engineer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Junior PHP Developer,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,JAVA FEJLESZTŐ,"
      Rendszerüzemeltető    "
BKV Zrt. ,Távközlési Szakember,"
      Rendszerüzemeltető    "
BKV Zrt. ,Távközlési végberendezés üzemeltető,"
      Rendszerüzemeltető    "
HumanField Vezető- és Specialistakiválasztó Kft. ,GÉPÉSZ TERVEZŐMÉRNÖK (16-1988),"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Beágyazott SW fejlesztőmérnök (ipari hálózati eszközök),"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,JUNIOR SAP® TANÁCSADÓ ÉS FEJLESZTŐ,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Backend C# Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Data and AI Solution Architect,"
      Rendszerüzemeltető    "
Hire-One Kft. ,Junior Folyamatmérnök (Székesfehérvár),"
      Rendszerüzemeltető    "
Hire-One Kft. ,Folyamatmérnök (Székesfehérvár),"
      Rendszerüzemeltető    "
Hire-One Kft. ,IT security specialist,"
      Rendszerüzemeltető    "
PBS International Kft. ,Digital Solutions Support Coordinator / IT Asszisztens,"
      Rendszerüzemeltető    "
WORKLIFE Hungary ,MŰSZAKI INFORMATIKUS (bekes59),"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP Solution Architect,"
      Rendszerüzemeltető    "
T-HR Kft. ,Site Cybersecurity Officer - Veszprém,"
      Rendszerüzemeltető    "
