Corporation,Main,Location
IBM,Microsoft Azure Data Engineer,"Bratislavský kraj, Banskobystrický kraj, Košický kraj (Práca vyžaduje cestovanie)"
"Accenture, s.r.o.",Senior Cloud Data Engineer (permanent home office possible),Remote work
"Accenture, s.r.o.",Infrastructure Automation Engineer ,"Košice, Slovakia (Job with occasional home office)"
"Accenture, s.r.o.",Infrastructure Automation Engineer ,"Košice, Slovakia (Job with occasional home office)"
ComAp Slovakia s.r.o.,Embedded C/C++ Engineer – Praha/Košice,"U Uranie, Prague 7-Holešovice, Czechia (Job with occasional home office)"
CODERAMA s. r. o.,Medior/Senior Automatizovaný tester,Práca z domu
Deutsche Telekom IT Solutions Slovakia,ICT Architect for Automation,040 01 Košice
IEE Sensing Slovakia s.r.o.,HW Test Engineer,"Bahýľova, Košice-Barca, Slovakia (Job with occasional home office)"
IEE Sensing Slovakia s.r.o.,HW Engineer,"Bahýľova, Košice-Barca, Slovakia (Job with occasional home office)"
"Nokia Slovakia, a.s.",Internship for Software Engineer,Bratislava
Swiss Re,Database DevOps Engineer,"Swiss Re, Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Covestro (Slovakia) Services s. r. o.,Controller Data Visualization,"Bratislava, Slovakia (Job with occasional home office)"
"Kyndryl Services Slovensko, spol. s r.o.",Data Analyst Internship,"Bratislava, Slovakia (Job with occasional home office)"
Swiss Re,Data Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Swiss Re,Expert Data Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Deutsche Telekom Cloud Services s.r.o.,DevOps Engineer: Kubernetes Platform,Bratislava region (The job requires travelling)
"NN Životná poisťovňa, a.s.",Aktuár - Junior,"Jesenského 4, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Universal Instruments s. r. o.,FPGA/VHDL developer (US company),"Stará Vajnorská 27, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
"Zurich Insurance Company Ltd, organizačná zložka","Actuarial Analyst to join our newly forming team for predicting future „Life Business""","Bratislava, Slovak Republic (Job with occasional home office)"
Deutsche Telekom Cloud Services s.r.o.,Cloud Infrastructure Support - Student Part-Time,"Bratislava I, Bratislava-Old Town"
"Eleveo a.s., organizačná zložka Slovensko",Software Engineer – Java Backend – Hydra Team,Košice
"Eleveo a.s., organizačná zložka Slovensko",Software Engineer – Java Backend – Alpha Team,Košice
