ID,Main,Location,Corporation,Salary,Href,Date
46,PLC Programátor,"Okres Piešťany, Piešťany, Vrbové",AVES Automatizácia s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1330355/plc-programator,2023-03-21
47,DevOps Manager/Engineer (Ref. č.: 1-16-41305),Bratislava,Grafton Slovakia s.r.o., 3 500 EUR/mesiac,pracovna-ponuka/1309947/devops-manager-engineer-ref-c-1-16-41305-,2023-03-21
48,Servisný technik M/Ž; (Ref. č. 5/2023),Bratislava,"TIPOS, národná lotériová spoločnosť, a. s.", 1 700 EUR/mesiac,pracovna-ponuka/1303709/servisny-technik-m-z-ref-c-5-2023-,2023-03-21
49,IT administrátor (Ref. č.: 12-15-41992),Zvolen,Grafton Slovakia s.r.o., 1 700 EUR/mesiac,pracovna-ponuka/1329393/it-administrator-ref-c-12-15-41992-,2023-03-21
50,Špecialista technickej podpory (Ref. č.: 1-1-41991),Bratislava,Grafton Slovakia s.r.o., 1 400 EUR/mesiac,pracovna-ponuka/1329391/specialista-technickej-podpory-ref-c-1-1-41991-,2023-03-21
51,Business Analyst (Ref. č.: 1-16-40415),Košice,Grafton Slovakia s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1140565/business-analyst-ref-c-1-16-40415-,2023-03-21
52,"Tech Expert in C# - TPP, REMOTE (Ref. č.: 1-16-39901)",Košice,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1123811/tech-expert-in-c-tpp-remote-ref-c-1-16-39901-,2023-03-21
53,Junior platform Solution engineer - vhodné pre absolventov! (Ref. č.: 1-16-40319),Bratislava,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1140537/junior-platform-solution-engineer-vhodne-pre-absolventov-ref-c-1-16-40319-,2023-03-21
54,"Software Architect - TPP, REMOTE (Ref. č.: 1-16-39902)",Košice,Grafton Slovakia s.r.o., 3 300 EUR/mesiac,pracovna-ponuka/1123633/software-architect-tpp-remote-ref-c-1-16-39902-,2023-03-21
55,Process expert (SCM and logistics),Nitra,LEDVANCE s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1329313/process-expert-scm-and-logistics-,2023-03-21
56,IT konzultant,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 675 EUR/mesiac,pracovna-ponuka/1330279/it-konzultant,2023-03-21
57,Infrastructure Project Manager|REMOTE (Ref. č.: 131-15-41789),Nitra,Grafton Slovakia s.r.o., 1 900 EUR/mesiac,pracovna-ponuka/1329259/infrastructure-project-managerremote-ref-c-131-15-41789-,2023-03-21
58,Cloud services Senior Engineer (m/f),Slovenská republika,Slovak Telekom, 2 400 EUR/mesiac,pracovna-ponuka/1308195/cloud-services-senior-engineer-m-f-,2023-03-21
59,Test Automation Specialist,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1164165/test-automation-specialist,2023-03-21
60,DevOps Manager/Engineer (Ref. č.: 1-12-41305),Bratislava,Grafton Slovakia s.r.o., 3 500 EUR/mesiac,pracovna-ponuka/1309331/devops-manager-engineer-ref-c-1-12-41305-,2023-03-21
61,C++/Python Developer so záujmom o meteorológiu (Ref. č.: 1-16-40126),Bratislava,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1129823/c-python-developer-so-zaujmom-o-meteorologiu-ref-c-1-16-40126-,2023-03-21
62,Web developer (Javascript & Typescript) - junior/medior (Ref. č.: 1-16-40130),Bratislava,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1129773/web-developer-javascript-typescript-junior-medior-ref-c-1-16-40130-,2023-03-21
63,SW Developer (.NET) (Ref. č.: 1-16-40140),Bratislava,Grafton Slovakia s.r.o., 2 400 EUR/mesiac,pracovna-ponuka/1129713/sw-developer-net-ref-c-1-16-40140-,2023-03-21
64,DevOps engineer (Ref. č.: 1-16-39808),Košice,Grafton Slovakia s.r.o., 2 700 EUR/mesiac,pracovna-ponuka/1120343/devops-engineer-ref-c-1-16-39808-,2023-03-21
65,QA Automation Engineer (Ref. č.: 1-16-39103),Košice,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1096715/qa-automation-engineer-ref-c-1-16-39103-,2023-03-21
66,C#/.NET Programátor (aj živnosť/s.r.o.+ remote) (Ref. č.: 1-16-36102),Bratislava,Grafton Slovakia s.r.o., 2 300 EUR/mesiac,pracovna-ponuka/1078463/c-net-programator-aj-zivnost-s-r-o-remote-ref-c-1-16-36102-,2023-03-21
67,Project Manager Junior - Home Office/Office,Bratislava,msg life Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1320104/project-manager-junior-home-office-office,2023-03-21
68,Java developer - Home Office/Office,Bratislava,msg life Slovakia s.r.o., 2 700 EUR/mesiac,pracovna-ponuka/1320100/java-developer-home-office-office,2023-03-21
69,Integračný architekt - Home Office/Office,Slovenská republika,msg life Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1273295/integracny-architekt-home-office-office,2023-03-21
70,DevOps inžinier - Home Office/Office,"Práca z domu, Bratislava, Košice, Žilina",msg life Slovakia s.r.o., 2 200 EUR/mesiacVhné,pracovna-ponuka/1132531/devops-inzinier-home-office-office,2023-03-21
71,Java programátor junior - Home Office/Office,"Práca z domu, Bratislava, Košice, Žilina",msg life Slovakia s.r.o., 1 900 EUR/mesiacVhné,pracovna-ponuka/1132445/java-programator-junior-home-office-office,2023-03-21
72,Java programátor expert - Home Office/Office,"Práca z domu, Bratislava, Košice, Žilina",msg life Slovakia s.r.o., 3 000 EUR/mesiacVhné,pracovna-ponuka/1132415/java-programator-expert-home-office-office,2023-03-21
73,IT Security Manager (Ref. č.: 1-16-41564),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1317760/it-security-manager-ref-c-1-16-41564-,2023-03-21
