ID,Main,Location,Corporation,Salary,Href,Date
132,Programátor CNC strojov - Operátor,"Okres Stará Ľubovňa, Stará Ľubovňa","AM-KOV, s.r.o.", 1 000 EUR/mesiac,pracovna-ponuka/1331853/programator-cnc-strojov-operator,2023-04-06
133,WEB FE application developer,Bratislava,"NOVIS Insurance Company, NOVIS Versicherungsgesellschaft, NOVIS Compagnia di Assicurazioni, NOVIS Poisťovňa a.s.", 2 000 EUR/mesiac,pracovna-ponuka/1331843/web-fe-application-developer,2023-04-06
134,Učiteľ/ka základnej školy - biológia a informatika,Brezno,"Základná škola Kláry Jarunkovej, Kolkáreň 7/12, Podbrezová",,pracovna-ponuka/1331725/ucitel-ka-zakladnej-skoly-biologia-a-informatika,2023-04-06
135,Senior Software Engineer,,EPAM Systems s.r.o., 4 000 EUR/mesiac,pracovna-ponuka/1331609/senior-software-engineer,2023-04-06
136,DevOps Engineer,Bratislava,Deutsche Telekom Cloud Services s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1331479/devops-engineer,2023-04-06
137,Software Engineer,Bratislava,Bloomreach SK s.r.o., 2 300 EUR/mesiac,pracovna-ponuka/1320642/software-engineer,2023-04-06
138,Programátor C++,Bratislava,"MicroStep, spol. s r.o.", 2 000 EUR/mesiac,pracovna-ponuka/1306397/programator-c-,2023-04-06
139,PLC programátor,Bratislava,TG Automation s.r.o., 1 100 EUR/mesiac,pracovna-ponuka/1300807/plc-programator,2023-04-06
140,IT konzultant,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 3 350 EUR/mesiac,pracovna-ponuka/1320510/it-konzultant,2023-04-06
141,Učiteľ/ -ka s aprobáciou: fyzika - matematika - telesná výchova- informatika,"Okres Komárno, Komárno","Základná škola, Školská ul. č. 757/10, 946 14 Zemianska Olča",,pracovna-ponuka/1293513/ucitel-ka-s-aprobaciou-fyzika-matematika-telesna-vychova-informatika,2023-04-06
142,IT consultant with sales for Korean Company,"Okres Žilina, Žilina",C.W s.r.o., 1 100 EUR/mesiac,pracovna-ponuka/1326093/it-consultant-with-sales-for-korean-company,2023-04-06
143,Senior Application Developer,Bratislava,Oracle Slovensko spol. s r.o., 2 000 EUR/mesiac,pracovna-ponuka/1299031/senior-application-developer,2023-04-06
144,Senior Software Testing Engineer,Bratislava,EPAM Systems s.r.o., 3 200 EUR/mesiac,pracovna-ponuka/1325847/senior-software-testing-engineer,2023-04-06
145,IT konzultant,Bratislava,Veľvyslanectvo USA, 2 100 EUR/mesiac,pracovna-ponuka/1325827/it-konzultant,2023-04-06
146,Java Software Developer,Bratislava,iLogistics Slovakia s. r. o., 2 200 EUR/mesiac,pracovna-ponuka/1325801/java-software-developer,2023-04-06
147,Programátor,Bratislava,"Automobilové opravovne Ministerstva vnútra Slovenskej republiky, a. s.", 2 200 EUR/mesiac,pracovna-ponuka/1306685/programator,2023-04-06
148,Programátor,Košice,"Workflows, s.r.o.", 1 100 EUR/mesiac,pracovna-ponuka/1325497/programator,2023-04-06
149,Programátor,Košice,"Workflows, s.r.o.", 1 100 EUR/mesiac,pracovna-ponuka/1325495/programator,2023-04-06
150,SW development and maintenance,"Okres Žilina, Žilina",C.W s.r.o.,5 EUR/h,pracovna-ponuka/1325355/sw-development-and-maintenance,2023-04-06
151,Elektromechanik - programátor,Zlaté Moravce,Specialty Field Services s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1320060/elektromechanik-programator,2023-04-06
152,Telefonista / telefonistka,"Okres Rimavská Sobota, Rimavská Sobota","Euro Focus,o.z.", 800 EUR/mesiac,pracovna-ponuka/1330827/telefonista-telefonistka,2023-04-06
153,SharePoint Developer,Bratislava,Henley & Partners Slovakia s. r. o., 3 500 EUR/mesiac,pracovna-ponuka/1330651/sharepoint-developer,2023-04-06
154,Programátor CNC strojov,"Okres Komárno, Komárno, Kolárovo",KolArms s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1319712/programator-cnc-strojov,2023-04-06
155,Aplikačný programátor,"Okres Senica, Senica",Ivan Kozák K&H, 760 EUR/mesiac,pracovna-ponuka/1310563/aplikacny-programator,2023-04-06
156,PLC Programátor,"Okres Piešťany, Piešťany, Vrbové",AVES Automatizácia s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1330355/plc-programator,2023-04-06
157,IT konzultant,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 675 EUR/mesiac,pracovna-ponuka/1330279/it-konzultant,2023-04-06
158,IT konzultant,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 675 EUR/mesiac,pracovna-ponuka/1319410/it-konzultant,2023-04-06
159,Biznis Analytik,Košice,Holcim European Business Services s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1324283/biznis-analytik,2023-04-06
160,Senior programátor,Bratislava,ARBITAS s.r.o., 700 EUR/mesiac,pracovna-ponuka/1319254/senior-programator,2023-04-06
161,Databázový analytik,Bratislava,Voxwise s.r.o., 750 EUR/mesiac,pracovna-ponuka/1315400/databazovy-analytik,2023-04-06
162,Programátor CNC strojov,Námestovo,MECASYS s. r. o., 2 400 EUR/mesiac,pracovna-ponuka/1132167/programator-cnc-strojov,2023-04-06
163,Systémový programátor,Košice,DATAMONT s.r.o., 900 EUR/mesiac,pracovna-ponuka/1315340/systemovy-programator,2023-04-06
164,Samostatný výskumný a vývojový pracovník,"Okres Senica, Senica",Vojenský technický a skúšobný ústav Záhorie,,pracovna-ponuka/1123991/samostatny-vyskumny-a-vyvojovy-pracovnik,2023-04-06
165,Učiteľ/ka - informatiky,"Okres Hlohovec, Hlohovec, Leopoldov","Základná škola, Nám. sv. Ignáca 31, Leopoldov", 1 037 EUR/mesiac,pracovna-ponuka/1324811/ucitel-ka-informatiky,2023-04-06
166,Junior softvérový inžinier,Košice,Infobip s. r. o., 1 700 EUR/mesiac,pracovna-ponuka/1123887/junior-softverovy-inzinier,2023-04-06
167,"Softvérový architekt, dizajnér",Bratislava,MAXIMA - SLOVAKIA s. r. o., 840 EUR/mesiac,pracovna-ponuka/1315132/softverovy-architekt-dizajner,2023-04-06
168,Odborný/á referent/ka - GIS analytik/čka,Bratislava,Mestská časť Bratislava - Petržalka, 1 200 EUR/mesiac,pracovna-ponuka/1329721/odborny-a-referent-ka-gis-analytik-cka,2023-04-06
169,Biznis Analytik,Košice,Holcim European Business Services s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1324279/biznis-analytik,2023-04-06
170,Špecialista - Programátor WinCC - Wonderware,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309851/specialista-programator-wincc-wonderware,2023-04-06
171,PHP programátor/ka,Bratislava,Mestská časť Bratislava - Petržalka, 1 600 EUR/mesiac,pracovna-ponuka/1329645/php-programator-ka,2023-04-06
172,Programátor,"Okres Žilina, Žilina","OMICRON TECHNOLOGIES, s. r. o.", 2 000 EUR/mesiac,pracovna-ponuka/1324203/programator,2023-04-06
173,Špecialista - Programátor SCADA,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309591/specialista-programator-scada,2023-04-06
174,Špecialista - Programátor EPLAN,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309571/specialista-programator-eplan,2023-04-06
175,Commissioning engineer,Bratislava,i4Industry s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1318384/commissioning-engineer,2023-04-06
176,"Špecialista - Programátor Step 7 - Siemens, RS-Rockwell automation","Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309469/specialista-programator-step-7-siemens-rs-rockwell-automation,2023-04-06
177,Špecialista - Programátor WinCC - Flexible,"Okres Zvolen, Zvolen","MANUFACTURING + MOUNTING, s.r.o.", 1 350 EUR/mesiac,pracovna-ponuka/1309467/specialista-programator-wincc-flexible,2023-04-06
178,Sr Database Administrator,Bratislava,"Fiserv Slovakia, s.r.o.", 3 700 EUR/mesiac,pracovna-ponuka/1318212/sr-database-administrator,2023-04-06
179,Systémový programátor,Bratislava,MUSELET s.r.o., 720 EUR/mesiac,pracovna-ponuka/1309231/systemovy-programator,2023-04-06
